Total_Population,NAME,state,county,tract
3141,Census Tract 3239; Harris County; Texas,48,201,323900
5720,Census Tract 3240; Harris County; Texas,48,201,324000
5441,Census Tract 3241.01; Harris County; Texas,48,201,324101
0,Census Tract 3241.02; Harris County; Texas,48,201,324102
782,Census Tract 3242; Harris County; Texas,48,201,324200
5626,Census Tract 3301.01; Harris County; Texas,48,201,330101
2608,Census Tract 3301.02; Harris County; Texas,48,201,330102
4997,Census Tract 3302; Harris County; Texas,48,201,330200
8579,Census Tract 3303.01; Harris County; Texas,48,201,330301
5001,Census Tract 3303.02; Harris County; Texas,48,201,330302
4588,Census Tract 3303.03; Harris County; Texas,48,201,330303
4836,Census Tract 3304; Harris County; Texas,48,201,330400
4913,Census Tract 3305; Harris County; Texas,48,201,330500
6884,Census Tract 3306; Harris County; Texas,48,201,330600
9562,Census Tract 3307; Harris County; Texas,48,201,330700
5585,Census Tract 3308.01; Harris County; Texas,48,201,330801
10478,Census Tract 3308.02; Harris County; Texas,48,201,330802
10866,Census Tract 3309.01; Harris County; Texas,48,201,330901
2860,Census Tract 3309.02; Harris County; Texas,48,201,330902
3470,Census Tract 3311; Harris County; Texas,48,201,331100
4744,Census Tract 3312; Harris County; Texas,48,201,331200
4062,Census Tract 3313; Harris County; Texas,48,201,331300
2953,Census Tract 3314; Harris County; Texas,48,201,331400
4355,Census Tract 3315.01; Harris County; Texas,48,201,331501
5010,Census Tract 3315.02; Harris County; Texas,48,201,331502
3034,Census Tract 3316.02; Harris County; Texas,48,201,331602
4774,Census Tract 3316.03; Harris County; Texas,48,201,331603
2214,Census Tract 3316.04; Harris County; Texas,48,201,331604
4134,Census Tract 3317; Harris County; Texas,48,201,331700
3685,Census Tract 3318; Harris County; Texas,48,201,331800
3651,Census Tract 3319; Harris County; Texas,48,201,331900
5951,Census Tract 3320; Harris County; Texas,48,201,332000
3102,Census Tract 3321; Harris County; Texas,48,201,332100
4616,Census Tract 3322; Harris County; Texas,48,201,332200
2922,Census Tract 3323; Harris County; Texas,48,201,332300
4097,Census Tract 3324; Harris County; Texas,48,201,332400
3659,Census Tract 3325; Harris County; Texas,48,201,332500
6737,Census Tract 3326; Harris County; Texas,48,201,332600
2528,Census Tract 3327; Harris County; Texas,48,201,332700
4433,Census Tract 3328; Harris County; Texas,48,201,332800
4953,Census Tract 3329; Harris County; Texas,48,201,332900
3917,Census Tract 3330; Harris County; Texas,48,201,333000
3554,Census Tract 3331; Harris County; Texas,48,201,333100
5065,Census Tract 3332.01; Harris County; Texas,48,201,333201
2558,Census Tract 3332.03; Harris County; Texas,48,201,333203
2219,Census Tract 3332.04; Harris County; Texas,48,201,333204
1618,Census Tract 3332.05; Harris County; Texas,48,201,333205
5096,Census Tract 3333.01; Harris County; Texas,48,201,333301
3248,Census Tract 3333.02; Harris County; Texas,48,201,333302
3157,Census Tract 3335.01; Harris County; Texas,48,201,333501
2764,Census Tract 3335.02; Harris County; Texas,48,201,333502
3673,Census Tract 3336; Harris County; Texas,48,201,333600
3620,Census Tract 3337; Harris County; Texas,48,201,333700
5064,Census Tract 3338.01; Harris County; Texas,48,201,333801
6116,Census Tract 3338.02; Harris County; Texas,48,201,333802
3554,Census Tract 3339.03; Harris County; Texas,48,201,333903
6995,Census Tract 3339.04; Harris County; Texas,48,201,333904
3264,Census Tract 3339.05; Harris County; Texas,48,201,333905
5677,Census Tract 3339.06; Harris County; Texas,48,201,333906
3413,Census Tract 3340.01; Harris County; Texas,48,201,334001
2276,Census Tract 3340.02; Harris County; Texas,48,201,334002
5578,Census Tract 3340.03; Harris County; Texas,48,201,334003
9367,Census Tract 3341.01; Harris County; Texas,48,201,334101
6550,Census Tract 3341.02; Harris County; Texas,48,201,334102
1275,Census Tract 3401.01; Harris County; Texas,48,201,340101
5507,Census Tract 3401.02; Harris County; Texas,48,201,340102
0,Census Tract 3402.01; Harris County; Texas,48,201,340201
8375,Census Tract 3402.02; Harris County; Texas,48,201,340202
4534,Census Tract 3402.03; Harris County; Texas,48,201,340203
3336,Census Tract 3403.01; Harris County; Texas,48,201,340301
6607,Census Tract 3403.02; Harris County; Texas,48,201,340302
1079,Census Tract 3404; Harris County; Texas,48,201,340400
3948,Census Tract 3405.01; Harris County; Texas,48,201,340501
2228,Census Tract 3405.02; Harris County; Texas,48,201,340502
2522,Census Tract 3406; Harris County; Texas,48,201,340600
4172,Census Tract 3407.01; Harris County; Texas,48,201,340701
3436,Census Tract 3407.02; Harris County; Texas,48,201,340702
5436,Census Tract 3408; Harris County; Texas,48,201,340800
5198,Census Tract 3409; Harris County; Texas,48,201,340900
4056,Census Tract 3410.01; Harris County; Texas,48,201,341001
4022,Census Tract 3410.02; Harris County; Texas,48,201,341002
1961,Census Tract 3411.01; Harris County; Texas,48,201,341101
2271,Census Tract 3411.02; Harris County; Texas,48,201,341102
4840,Census Tract 3412.01; Harris County; Texas,48,201,341201
2653,Census Tract 3412.03; Harris County; Texas,48,201,341203
3470,Census Tract 3412.04; Harris County; Texas,48,201,341204
3305,Census Tract 3413.02; Harris County; Texas,48,201,341302
2952,Census Tract 3413.03; Harris County; Texas,48,201,341303
1484,Census Tract 3413.04; Harris County; Texas,48,201,341304
5873,Census Tract 3414; Harris County; Texas,48,201,341400
6414,Census Tract 3415.01; Harris County; Texas,48,201,341501
4321,Census Tract 3415.02; Harris County; Texas,48,201,341502
7194,Census Tract 3416; Harris County; Texas,48,201,341600
3205,Census Tract 3417; Harris County; Texas,48,201,341700
2187,Census Tract 3418; Harris County; Texas,48,201,341800
6404,Census Tract 3420.01; Harris County; Texas,48,201,342001
4074,Census Tract 3420.02; Harris County; Texas,48,201,342002
4375,Census Tract 3421; Harris County; Texas,48,201,342100
3998,Census Tract 3422; Harris County; Texas,48,201,342200
7954,Census Tract 3423; Harris County; Texas,48,201,342300
3599,Census Tract 3424; Harris County; Texas,48,201,342400
5973,Census Tract 3425; Harris County; Texas,48,201,342500
4699,Census Tract 3427; Harris County; Texas,48,201,342700
5172,Census Tract 3428.01; Harris County; Texas,48,201,342801
3116,Census Tract 3428.02; Harris County; Texas,48,201,342802
7306,Census Tract 3429; Harris County; Texas,48,201,342900
7663,Census Tract 3430; Harris County; Texas,48,201,343000
4058,Census Tract 3431; Harris County; Texas,48,201,343100
4740,Census Tract 3432; Harris County; Texas,48,201,343200
5023,Census Tract 3433.01; Harris County; Texas,48,201,343301
4649,Census Tract 3433.02; Harris County; Texas,48,201,343302
1,Census Tract 3436.01; Harris County; Texas,48,201,343601
2776,Census Tract 3436.02; Harris County; Texas,48,201,343602
4005,Census Tract 3437; Harris County; Texas,48,201,343700
5010,Census Tract 3501.01; Harris County; Texas,48,201,350101
4933,Census Tract 3501.02; Harris County; Texas,48,201,350102
7685,Census Tract 3501.03; Harris County; Texas,48,201,350103
4654,Census Tract 3501.04; Harris County; Texas,48,201,350104
3776,Census Tract 3502.01; Harris County; Texas,48,201,350201
4854,Census Tract 3502.02; Harris County; Texas,48,201,350202
6299,Census Tract 3503; Harris County; Texas,48,201,350300
6682,Census Tract 3504; Harris County; Texas,48,201,350400
6767,Census Tract 3505; Harris County; Texas,48,201,350500
4329,Census Tract 3506.01; Harris County; Texas,48,201,350601
4509,Census Tract 3506.03; Harris County; Texas,48,201,350603
3306,Census Tract 3506.04; Harris County; Texas,48,201,350604
2230,Census Tract 3507; Harris County; Texas,48,201,350700
5212,Census Tract 3508.01; Harris County; Texas,48,201,350801
2998,Census Tract 3508.03; Harris County; Texas,48,201,350803
6310,Census Tract 3508.04; Harris County; Texas,48,201,350804
1963,Census Tract 4101.01; Harris County; Texas,48,201,410101
3980,Census Tract 4101.02; Harris County; Texas,48,201,410102
1928,Census Tract 4102.01; Harris County; Texas,48,201,410201
3753,Census Tract 4102.02; Harris County; Texas,48,201,410202
3552,Census Tract 4103; Harris County; Texas,48,201,410300
3600,Census Tract 4104.01; Harris County; Texas,48,201,410401
2931,Census Tract 4104.02; Harris County; Texas,48,201,410402
1696,Census Tract 4105.01; Harris County; Texas,48,201,410501
3067,Census Tract 4105.02; Harris County; Texas,48,201,410502
