median_income,NAME,state,county,tract,GEOID
60380,Census Tract 2216.01; Harris County; Texas,48,201,221601,48201221601
63893,Census Tract 2216.02; Harris County; Texas,48,201,221602,48201221602
42078,Census Tract 2217.01; Harris County; Texas,48,201,221701,48201221701
36054,Census Tract 2217.02; Harris County; Texas,48,201,221702,48201221702
50945,Census Tract 2218; Harris County; Texas,48,201,221800,48201221800
59122,Census Tract 2219; Harris County; Texas,48,201,221900,48201221900
38281,Census Tract 2220; Harris County; Texas,48,201,222000,48201222000
41759,Census Tract 2221; Harris County; Texas,48,201,222100,48201222100
58024,Census Tract 2222; Harris County; Texas,48,201,222200,48201222200
38770,Census Tract 2223; Harris County; Texas,48,201,222300,48201222300
41125,Census Tract 2224.01; Harris County; Texas,48,201,222401,48201222401
41671,Census Tract 2224.02; Harris County; Texas,48,201,222402,48201222402
38333,Census Tract 2225.01; Harris County; Texas,48,201,222501,48201222501
52987,Census Tract 2225.02; Harris County; Texas,48,201,222502,48201222502
38977,Census Tract 2225.04; Harris County; Texas,48,201,222504,48201222504
70060,Census Tract 2225.05; Harris County; Texas,48,201,222505,48201222505
33689,Census Tract 2226.01; Harris County; Texas,48,201,222601,48201222601
29722,Census Tract 2226.02; Harris County; Texas,48,201,222602,48201222602
11592,Census Tract 2227.01; Harris County; Texas,48,201,222701,48201222701
26653,Census Tract 2227.02; Harris County; Texas,48,201,222702,48201222702
39241,Census Tract 2228; Harris County; Texas,48,201,222800,48201222800
53672,Census Tract 2229; Harris County; Texas,48,201,222900,48201222900
47768,Census Tract 2230.01; Harris County; Texas,48,201,223001,48201223001
40150,Census Tract 2230.02; Harris County; Texas,48,201,223002,48201223002
64655,Census Tract 2231; Harris County; Texas,48,201,223100,48201223100
50357,Census Tract 2301; Harris County; Texas,48,201,230100,48201230100
36609,Census Tract 2302; Harris County; Texas,48,201,230200,48201230200
43519,Census Tract 2303; Harris County; Texas,48,201,230300,48201230300
59688,Census Tract 2304; Harris County; Texas,48,201,230400,48201230400
37386,Census Tract 2305; Harris County; Texas,48,201,230500,48201230500
34145,Census Tract 2306; Harris County; Texas,48,201,230600,48201230600
36445,Census Tract 2307; Harris County; Texas,48,201,230700,48201230700
45260,Census Tract 2308; Harris County; Texas,48,201,230800,48201230800
30088,Census Tract 2309; Harris County; Texas,48,201,230900,48201230900
45050,Census Tract 2310; Harris County; Texas,48,201,231000,48201231000
31875,Census Tract 2311; Harris County; Texas,48,201,231100,48201231100
35199,Census Tract 2312; Harris County; Texas,48,201,231200,48201231200
48560,Census Tract 2313; Harris County; Texas,48,201,231300,48201231300
45479,Census Tract 2314; Harris County; Texas,48,201,231400,48201231400
50319,Census Tract 2315; Harris County; Texas,48,201,231500,48201231500
41760,Census Tract 2316; Harris County; Texas,48,201,231600,48201231600
41731,Census Tract 2317; Harris County; Texas,48,201,231700,48201231700
57198,Census Tract 2318; Harris County; Texas,48,201,231800,48201231800
41331,Census Tract 2319; Harris County; Texas,48,201,231900,48201231900
39693,Census Tract 2320; Harris County; Texas,48,201,232000,48201232000
42374,Census Tract 2321; Harris County; Texas,48,201,232100,48201232100
57449,Census Tract 2322.01; Harris County; Texas,48,201,232201,48201232201
185611,Census Tract 2322.02; Harris County; Texas,48,201,232202,48201232202
70180,Census Tract 2322.03; Harris County; Texas,48,201,232203,48201232203
54908,Census Tract 2323.03; Harris County; Texas,48,201,232303,48201232303
45694,Census Tract 2323.04; Harris County; Texas,48,201,232304,48201232304
89591,Census Tract 2323.05; Harris County; Texas,48,201,232305,48201232305
103191,Census Tract 2323.06; Harris County; Texas,48,201,232306,48201232306
58537,Census Tract 2324.02; Harris County; Texas,48,201,232402,48201232402
54886,Census Tract 2324.03; Harris County; Texas,48,201,232403,48201232403
77560,Census Tract 2324.04; Harris County; Texas,48,201,232404,48201232404
79344,Census Tract 2324.05; Harris County; Texas,48,201,232405,48201232405
41813,Census Tract 2325; Harris County; Texas,48,201,232500,48201232500
68254,Census Tract 2326; Harris County; Texas,48,201,232600,48201232600
38835,Census Tract 2327.01; Harris County; Texas,48,201,232701,48201232701
53458,Census Tract 2327.03; Harris County; Texas,48,201,232703,48201232703
51842,Census Tract 2327.04; Harris County; Texas,48,201,232704,48201232704
69492,Census Tract 2328.01; Harris County; Texas,48,201,232801,48201232801
54519,Census Tract 2328.02; Harris County; Texas,48,201,232802,48201232802
58355,Census Tract 2329.01; Harris County; Texas,48,201,232901,48201232901
61457,Census Tract 2329.02; Harris County; Texas,48,201,232902,48201232902
43542,Census Tract 2330.01; Harris County; Texas,48,201,233001,48201233001
79444,Census Tract 2330.02; Harris County; Texas,48,201,233002,48201233002
65256,Census Tract 2330.03; Harris County; Texas,48,201,233003,48201233003
47654,Census Tract 2331.01; Harris County; Texas,48,201,233101,48201233101
49380,Census Tract 2331.03; Harris County; Texas,48,201,233103,48201233103
45284,Census Tract 2331.04; Harris County; Texas,48,201,233104,48201233104
48750,Census Tract 2331.05; Harris County; Texas,48,201,233105,48201233105
61491,Census Tract 2332; Harris County; Texas,48,201,233200,48201233200
62973,Census Tract 2333; Harris County; Texas,48,201,233300,48201233300
42601,Census Tract 2334; Harris County; Texas,48,201,233400,48201233400
62720,Census Tract 2335.01; Harris County; Texas,48,201,233501,48201233501
71006,Census Tract 2335.02; Harris County; Texas,48,201,233502,48201233502
36218,Census Tract 2336; Harris County; Texas,48,201,233600,48201233600
55975,Census Tract 2337.01; Harris County; Texas,48,201,233701,48201233701
42750,Census Tract 2337.02; Harris County; Texas,48,201,233702,48201233702
54375,Census Tract 2337.03; Harris County; Texas,48,201,233703,48201233703
37238,Census Tract 2401.01; Harris County; Texas,48,201,240101,48201240101
33025,Census Tract 2401.02; Harris County; Texas,48,201,240102,48201240102
59000,Census Tract 2404; Harris County; Texas,48,201,240400,48201240400
40651,Census Tract 2405.03; Harris County; Texas,48,201,240503,48201240503
26818,Census Tract 2405.04; Harris County; Texas,48,201,240504,48201240504
21824,Census Tract 2405.05; Harris County; Texas,48,201,240505,48201240505
41536,Census Tract 2405.06; Harris County; Texas,48,201,240506,48201240506
31816,Census Tract 2406; Harris County; Texas,48,201,240600,48201240600
